WKT,name,description
"POINT (7.1252126 50.8729748)",Point 1,
"POINT (7.1258107 50.8733099)",Point 2,
"POINT (7.125462 50.8735689)",Point 3,
"POINT (7.1249497 50.873838)",Point 4,
"POINT (7.1244428 50.8740225)",Point 5,
"POINT (7.1230889 50.8742745)",Point 6,
"POINT (7.1219973 50.8745706)",Point 7,
"POINT (7.1204444 50.8750819)",Point 8,
"POINT (7.1190523 50.8756201)",Point 9,
"POINT (7.1176185 50.8763428)",Point 10,
"POINT (7.117259 50.8771315)",Point 11,
"POINT (7.1183976 50.8775546)",Point 12,
"POINT (7.1193579 50.8774598)",Point 13,
"POINT (7.1185908 50.8772906)",Point 14,
